run_id,method_id,scenario_id,seed,git_commit,config_hash,record_type,series_index,environment_steps,episode_index,environment_seed,completed_boundary,transition_count,reward,reward_mean,reward_positive,penalty_total,completion_component,expiration_penalty,workload_penalty,energy_penalty,completed_task_count,expired_task_count,update_index,ppo_epoch_index,policy_version_before,policy_version_after,alpha,critic_learning_rate,ppo_clip_epsilon,loss,loss_type,actor_loss,critic_loss,entropy,total_loss,ratio,actor_grad_norm_before_clip,critic_grad_norm_before_clip,signal_gate_status
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,557,35840,,,,,,,,,,,,,,,139,0,139,140,0.0003,0.0003,0.2,0.6621085405349731,PPO clipped-surrogate actor + half-MSE critic,0.239729106426239,0.8673200011253357,1.128055453300476,0.6621085405349731,1.0,0.6377350091934204,2.2227983474731445,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,558,35840,,,,,,,,,,,,,,,139,1,139,140,0.0003,0.0003,0.2,0.6577329635620117,PPO clipped-surrogate actor + half-MSE critic,0.2366843819618225,0.8645931482315063,1.1247997283935547,0.6577329635620117,1.0001821517944336,0.7470563650131226,2.49165415763855,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,559,35840,,,,,,,,,,,,,,,139,2,139,140,0.0003,0.0003,0.2,0.6400738954544067,PPO clipped-surrogate actor + half-MSE critic,0.22965797781944275,0.8432207107543945,1.119445562362671,0.6400738954544067,0.9998853206634521,0.6559813022613525,2.270942449569702,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,560,35840,,,,,,,,,,,,,,,139,3,139,140,0.0003,0.0003,0.2,0.6185726523399353,PPO clipped-surrogate actor + half-MSE critic,0.2243739813566208,0.810640811920166,1.1121726036071777,0.6185726523399353,0.9993221759796143,0.7846960425376892,1.6709719896316528,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,561,36096,,,,,,,,,,,,,,,140,0,140,141,0.0003,0.0003,0.2,-0.514717161655426,PPO clipped-surrogate actor + half-MSE critic,-1.2717721462249756,1.5306800603866577,0.8285053372383118,-0.514717161655426,1.0,0.7176954746246338,9.369565963745117,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,562,36096,,,,,,,,,,,,,,,140,1,140,141,0.0003,0.0003,0.2,-0.5383906960487366,PPO clipped-surrogate actor + half-MSE critic,-1.2726466655731201,1.4850516319274902,0.8269863724708557,-0.5383906960487366,0.9994431138038635,0.6726047396659851,9.068305015563965,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,563,36096,,,,,,,,,,,,,,,140,2,140,141,0.0003,0.0003,0.2,-0.5924721956253052,PPO clipped-surrogate actor + half-MSE critic,-1.2757574319839478,1.3831062316894531,0.826790988445282,-0.5924721956253052,1.0004892349243164,0.5458961725234985,8.464811325073242,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,564,36096,,,,,,,,,,,,,,,140,3,140,141,0.0003,0.0003,0.2,-0.6664162278175354,PPO clipped-surrogate actor + half-MSE critic,-1.279989242553711,1.2436981201171875,0.8276052474975586,-0.6664162278175354,1.0017505884170532,0.6604060530662537,7.5777435302734375,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,565,36352,,,,,,,,,,,,,,,141,0,141,142,0.0003,0.0003,0.2,1.2577980756759644,PPO clipped-surrogate actor + half-MSE critic,0.6113933324813843,1.3102737665176392,0.8732258081436157,1.2577980756759644,1.0,0.5197729468345642,7.121039867401123,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,566,36352,,,,,,,,,,,,,,,141,1,141,142,0.0003,0.0003,0.2,1.2419513463974,PPO clipped-surrogate actor + half-MSE critic,0.609769344329834,1.2818464040756226,0.8741201162338257,1.2419513463974,0.9990425705909729,0.5183629393577576,6.9109697341918945,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,567,36352,,,,,,,,,,,,,,,141,2,141,142,0.0003,0.0003,0.2,1.2015126943588257,PPO clipped-surrogate actor + half-MSE critic,0.6063501834869385,1.2078282833099365,0.8751631379127502,1.2015126943588257,0.9972413778305054,0.5150324106216431,6.046773433685303,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,568,36352,,,,,,,,,,,,,,,141,3,141,142,0.0003,0.0003,0.2,1.1505355834960938,PPO clipped-surrogate actor + half-MSE critic,0.601578950881958,1.115437626838684,0.8762127161026001,1.1505355834960938,0.9946998953819275,0.47929129004478455,4.691490650177002,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,569,36608,,,,,,,,,,,,,,,142,0,142,143,0.0003,0.0003,0.2,-0.11159899830818176,PPO clipped-surrogate actor + half-MSE critic,-0.7186629772186279,1.231337070465088,0.8604558110237122,-0.11159899830818176,1.0,0.40814322233200073,5.879539966583252,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,570,36608,,,,,,,,,,,,,,,142,1,142,143,0.0003,0.0003,0.2,-0.1346200406551361,PPO clipped-surrogate actor + half-MSE critic,-0.7221639752388,1.1922190189361572,0.8565581440925598,-0.1346200406551361,1.0022284984588623,0.40222615003585815,5.343838691711426,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,571,36608,,,,,,,,,,,,,,,142,2,142,143,0.0003,0.0003,0.2,-0.17248287796974182,PPO clipped-surrogate actor + half-MSE critic,-0.7264688014984131,1.1250498294830322,0.8538995981216431,-0.17248287796974182,1.0049145221710205,0.4207160472869873,4.457983016967773,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,572,36608,,,,,,,,,,,,,,,142,3,142,143,0.0003,0.0003,0.2,-0.21242040395736694,PPO clipped-surrogate actor + half-MSE critic,-0.7300881743431091,1.0524027347564697,0.8533592224121094,-0.21242040395736694,1.0079271793365479,0.43254560232162476,3.2784266471862793,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,573,36864,,,,,,,,,,,,,,,143,0,143,144,0.0003,0.0003,0.2,-0.061760228127241135,PPO clipped-surrogate actor + half-MSE critic,-0.9457656145095825,1.7830424308776855,0.7515828609466553,-0.061760228127241135,1.0,0.6543020009994507,10.277399063110352,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,574,36864,,,,,,,,,,,,,,,143,1,143,144,0.0003,0.0003,0.2,-0.11108848452568054,PPO clipped-surrogate actor + half-MSE critic,-0.9479503631591797,1.6887552738189697,0.7515758872032166,-0.11108848452568054,1.0011042356491089,0.6115665435791016,9.33617115020752,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,575,36864,,,,,,,,,,,,,,,143,2,143,144,0.0003,0.0003,0.2,-0.18489883840084076,PPO clipped-surrogate actor + half-MSE critic,-0.9517179727554321,1.5486133098602295,0.7487514615058899,-0.18489883840084076,1.0023057460784912,0.6012470722198486,7.885019779205322,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,576,36864,,,,,,,,,,,,,,,143,3,143,144,0.0003,0.0003,0.2,-0.26372987031936646,PPO clipped-surrogate actor + half-MSE critic,-0.9562116265296936,1.3998311758041382,0.7433834671974182,-0.26372987031936646,1.0037827491760254,0.5997845530509949,6.0821757316589355,signal-watch
ca_gat_mappo__small__seed-42__cfg-6f2181b8e38c__git-e469ac5d152b,ca_gat_mappo,small,42,e469ac5d152b50c21427eecb0c098f60c618f9f3,6f2181b8e38c9454f0e5c0e44c3d52a8d1e1e11d7c4abe30331f6c5c8ef4e824,ppo_epoch,577,37120,,,,,,,,,,,,,,,144,0,144,145,0.0003,0.0003,0.2,0.5743092894554138,PPO clipped-surrogate actor + half-MSE critic,-0.3247566819190979,1.8129277229309082,0.7397912740707397,0.5743092894554138,1.0,0.7086752653121948,5.344091892242432,signal-watch
